date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:22	118924/118924	---M--	200	added ('OK')	image/jpeg	etag:%221d08c-5855e58231e54%22	http://bdevs.net/zomata/zomata/img/service/2.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/service/2.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:44:34	99856/99856	---M--	200	added ('OK')	image/jpeg	etag:%2218610-5855e5883bbec%22	http://bdevs.net/zomata/zomata/img/service/3.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/service/3.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:44:45	160849/160849	---M--	200	added ('OK')	image/jpeg	etag:%2227451-5855e537854f3%22	http://bdevs.net/zomata/zomata/img/team/team1.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/team/team1.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:44:50	167614/167614	---M--	200	added ('OK')	image/jpeg	etag:%2228ebe-5855e530ece2c%22	http://bdevs.net/zomata/zomata/img/team/team2.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/team/team2.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:44:59	157195/157195	---M--	200	added ('OK')	image/jpeg	etag:%222660b-5855e536c4b03%22	http://bdevs.net/zomata/zomata/img/team/team3.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/team/team3.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:45:08	108563/108563	---M--	200	added ('OK')	image/jpeg	etag:%221a813-5855e4de97e98%22	http://bdevs.net/zomata/zomata/img/blog/blog1.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/blog/blog1.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:45:25	102637/102637	---M--	200	added ('OK')	image/jpeg	etag:%22190ed-5855e4d92d3ca%22	http://bdevs.net/zomata/zomata/img/blog/blog3.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/blog/blog3.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:45:25	159061/159061	---M--	200	added ('OK')	image/jpeg	etag:%2226d55-5855e4dddf978%22	http://bdevs.net/zomata/zomata/img/blog/blog2.jpg	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/blog/blog2.jpg	(from http://bdevs.net/zomata/zomata/index-3.html)
11:45:26	3287/3287	---M--	200	added ('OK')	image/png	etag:%22cd7-5855e529040c1%22	http://bdevs.net/zomata/zomata/img/logo/white.png	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/logo/white.png	(from http://bdevs.net/zomata/zomata/index-3.html)
11:45:27	1333/1333	---M--	200	added ('OK')	image/png	etag:%22535-5855e4fb49625%22	http://bdevs.net/zomata/zomata/img/shape/f.png	C:/My%20Web%20Sites/hens/bdevs.net/zomata/zomata/img/shape/f.png	(from http://bdevs.net/zomata/zomata/index-3.html)
